#{"t_start": 1753598454.730259, "env_id": "None"}
r,l,t
-2485.236371,500,9.551448
-2155.941524,500,16.872099
-2247.245351,500,24.992575
-2314.257266,500,33.2291
-2444.359852,500,41.847345
-2876.816494,500,50.47683
-3104.446125,500,58.676643
-3195.855136,500,67.015569
-2959.04627,500,75.893542
-3040.471618,500,84.008449
-3361.4354,500,92.08674
-3369.209806,500,100.080527
-3073.111767,500,108.079749
-2839.392445,500,116.059124
-2738.079105,500,124.067347
-2879.899527,500,132.1035
-2691.953053,500,140.151042
-2373.762217,500,147.975307
-2748.439723,500,155.907963
-2495.45754,500,164.071112
-2766.005556,500,172.168837
-3101.724874,500,179.985904
-3105.60466,500,188.015738
-3148.471231,500,195.972954
-3266.035867,500,203.936969
-3178.90173,500,211.918194
-2991.704575,500,219.802524
-3395.779527,500,227.856545
-2884.538934,500,235.843848
-3285.074427,500,243.73479
-3449.385573,500,251.577518
-3179.590515,500,259.364364
-3099.960499,500,267.90331
-3492.238594,500,276.369256
-3442.494121,500,284.774955
-3510.703202,500,293.017848
-3290.762215,500,300.950724
-3382.664628,500,308.852912
-3211.1223,500,316.937176
-3347.1121,500,325.00439
-2893.292988,500,333.167473
-3059.933753,500,341.210545
-2994.490632,500,349.167204
-3146.595577,500,357.136196
-3515.412894,500,365.147807
-3414.982184,500,373.335277
-3341.833592,500,381.524935
-3166.098151,500,389.680082
-3134.102024,500,397.285658
-3444.337666,500,404.399841
-3453.796778,500,411.588043
-3155.698777,500,418.775635
-3484.153153,500,426.224061
-3093.281943,500,433.423644
-3531.03839,500,440.671515
-3225.131331,500,447.961927
-3173.820011,500,455.227801
-3260.68632,500,462.60351
-3244.38397,500,469.682098
-3081.642678,500,476.96625
-3117.111565,500,484.445213
-3144.796379,500,491.966312
-3073.660733,500,499.398482
-3207.36726,500,506.638186
-3392.465802,500,514.122766
-3181.205725,500,521.321981
-3177.429092,500,528.72848
-3276.93075,500,536.061198
-3397.438143,500,543.631082
-3046.939966,500,551.205999
-3291.921847,500,558.951467
-2703.815352,500,566.635547
-2581.117568,500,574.114054
-2351.123473,500,581.604633
-2255.491552,500,589.137813
-2206.513406,500,596.623142
-2147.599836,500,604.149164
-2315.446344,500,611.839911
-2049.526089,500,619.28791
-2341.467094,500,626.439297
-2326.728173,500,633.517515
-2348.875565,500,641.311635
-2952.108661,500,648.741007
-2188.324971,500,656.256307
-2125.746022,500,663.891824
-2163.238689,500,671.655291
-2279.77015,500,679.484153
-1945.203749,500,687.387736
-2034.068877,500,695.144703
-2083.230003,500,702.756888
-2185.455569,500,710.302173
-2236.237111,500,717.73217
-2436.991133,500,725.198303
-2992.598876,500,732.725488
-2176.95955,500,740.106764
-1828.747903,500,747.294024
-1918.358328,500,754.584518
-2201.881033,500,761.675116
-2349.899704,500,768.929636
-1830.056615,500,776.359254
-2447.912911,500,783.923078
-1791.357911,500,791.728896
-2135.701946,500,799.472923
-3214.464052,500,807.066489
-2598.710273,500,814.648416
-1938.045969,500,822.182195
-2155.207951,500,829.636272
-2445.102946,500,837.162704
-3167.048229,500,844.617447
-3263.353709,500,852.22293
-3343.733907,500,859.707343
-3388.28481,500,866.998102
-3504.011381,500,874.391638
-3692.140447,500,881.876295
-3531.116294,500,889.094181
-2789.869153,500,896.662844
-2562.877099,500,903.995941
-2630.320911,500,911.068471
-2409.858872,500,918.280545
-2027.752129,500,925.432214
-2336.249026,500,932.734056
-1879.011763,500,939.879839
-2166.127127,500,947.219428
-2112.223529,500,954.490302
-2044.004439,500,961.799224
-1963.141105,500,969.230051
-2417.945421,500,976.520385
-2398.328222,500,983.86606
-2156.519997,500,991.53178
-1994.822418,500,999.046657
-1900.068987,500,1006.676203
-1927.385505,500,1014.34925
-1923.241986,500,1021.71871
-1901.95374,500,1029.172225
-2031.437645,500,1036.5182
-1931.577496,500,1043.820094
-2842.594915,500,1051.153056
-3021.282049,500,1058.377034
-3178.755855,500,1065.819774
-2510.929281,500,1073.231173
-3276.425193,500,1080.606689
-3783.144485,500,1087.957392
-3989.165826,500,1095.30303
-3987.237634,500,1102.568759
-4395.273225,500,1109.64815
-3515.912939,500,1116.835127
-4212.026666,500,1124.156189
-3801.617851,500,1131.501553
-4252.950273,500,1139.06477
-3672.052243,500,1146.585787
-3347.247758,500,1154.027085
-4341.366795,500,1161.403105
-3622.99029,500,1168.924066
-3538.458499,500,1176.444507
-4449.238459,500,1183.923811
-3606.503466,500,1191.431588
-4232.8344,500,1198.928395
-4139.45146,500,1206.552588
-4587.367421,500,1214.079906
-4692.130831,500,1221.709245
-4144.818371,500,1229.38206
-4160.397987,500,1236.842006
-3827.039758,500,1244.174995
-4483.941765,500,1251.574761
-4198.66601,500,1259.040851
-4543.221151,500,1266.562269
-4786.618328,500,1274.155411
-3790.458258,500,1281.664323
-4192.764662,500,1289.179353
-4129.035601,500,1296.784717
-4694.542335,500,1304.287518
-4636.799615,500,1311.78393
-3335.856167,500,1319.450019
-3403.130222,500,1327.147055
-3257.091376,500,1334.79529
-2589.662007,500,1342.340692
-2597.830172,500,1349.800022
-2214.334025,500,1357.134138
-2316.658563,500,1364.509129
-1928.037919,500,1371.751369
-2269.967963,500,1379.247861
-2510.737383,500,1386.750504
-1984.777679,500,1394.204943
-2445.467628,500,1401.634804
-2261.468279,500,1409.240618
-2204.29007,500,1416.481653
-2084.776212,500,1423.748654
-2255.551161,500,1431.051999
-1924.076452,500,1438.469531
-2377.547715,500,1445.808028
-2314.524126,500,1453.11676
-2400.320516,500,1460.365372
-2174.050469,500,1467.771062
-2136.960846,500,1475.243639
-2175.202922,500,1482.56444
-2271.406168,500,1490.13377
-1799.495018,500,1497.55781
-1979.324006,500,1504.993509
-1870.871989,500,1512.333123
-1956.311671,500,1519.714388
-2168.838004,500,1527.095894
-1809.988847,500,1534.531384
-2119.188423,500,1541.907234
-2068.205779,500,1549.283167
-2059.748971,500,1556.718713
-2064.727109,500,1564.142246
-2031.088495,500,1571.469888
-1993.761964,500,1578.705283
-1736.258162,500,1585.929147
-2002.901923,500,1592.935722
-1956.398216,500,1600.068352
-1940.710306,500,1607.170489
-2140.866423,500,1614.394632
-1878.84946,500,1621.600762
-1947.080313,500,1628.82521
-1912.349965,500,1636.08447
-1887.255687,500,1643.44207
-1917.700127,500,1650.659608
-2144.371886,500,1657.847273
-2054.960099,500,1665.059683
-2138.812222,500,1672.452951
-1920.170477,500,1679.864652
-2226.425735,500,1687.258321
-1956.826739,500,1694.646025
-1834.312201,500,1702.027826
-1898.967934,500,1709.694106
-2104.820092,500,1717.414641
-2212.704683,500,1724.947755
-2102.764247,500,1732.443846
-2296.76728,500,1739.783101
-1893.607474,500,1747.267965
-1998.645057,500,1754.625169
-1871.337432,500,1762.090977
-1858.301937,500,1769.484852
-2136.22464,500,1776.84171
-2220.751543,500,1784.223639
-2003.371948,500,1791.623779
-1949.123551,500,1799.011338
-2015.367024,500,1806.428862
-2231.213153,500,1813.792373
-2005.088444,500,1821.137523
-1831.40545,500,1828.30677
-1775.069972,500,1835.469802
-1992.283014,500,1842.675913
-2032.882091,500,1849.863294
-1783.236591,500,1857.105469
-1739.034563,500,1864.390018
-1957.027212,500,1871.651058
-2803.412882,500,1878.862105
-4451.204946,500,1886.092021
-4661.586637,500,1893.333807
-4158.055832,500,1900.49752
-4937.713134,500,1907.690836
-4626.096947,500,1915.096672
-4635.707114,500,1922.775557
-4420.353208,500,1930.581073
-4544.910301,500,1938.398515
-4930.299987,500,1945.695466
-5091.344638,500,1952.865181
-5496.225551,500,1960.046738
-5149.902933,500,1967.422031
-4926.532334,500,1974.70679
-5054.349044,500,1982.18491
-4512.446703,500,1989.499296
-4587.579915,500,1997.038661
-4474.359348,500,2004.340858
-4183.291407,500,2011.765253
-2333.731035,500,2019.098507
-2950.411499,500,2026.571052
-2748.842471,500,2034.066657
-2223.530864,500,2041.484809
-1931.540964,500,2048.915121
-2088.090291,500,2056.381438
-1945.320862,500,2063.647909
-1996.389074,500,2070.708102
-1959.334978,500,2077.738118
-2141.515552,500,2084.689198
-2087.345175,500,2091.767487
-2287.545096,500,2099.125345
-2259.849438,500,2106.543301
-2037.6683,500,2113.91805
-3016.640562,500,2121.202386
-2712.767341,500,2128.402852
-2599.171755,500,2135.723025
-2234.021459,500,2143.056694
-2368.179198,500,2150.38339
-1868.73517,500,2157.710158
-2483.781342,500,2165.055638
-2190.537415,500,2172.400228
-2209.330756,500,2179.800127
-1998.922801,500,2186.953273
-2078.664437,500,2194.229912
-1983.36522,500,2201.513848
-1941.034539,500,2208.689432
