#{"t_start": 1753533662.850664, "env_id": "None"}
r,l,t
-1556.573539,500,9.187336
-1691.255518,500,15.630017
-1551.128986,500,22.604886
-1661.15432,500,29.150163
-1772.933392,500,38.465266
-1866.185837,500,45.549193
-1637.720878,500,52.572814
-1707.845136,500,59.421181
-1756.91208,500,68.335885
-1352.582884,500,74.656425
-1879.891156,500,81.098783
-1118.237514,500,87.571458
-1625.54339,500,96.177678
-1795.458924,500,102.728242
-1285.652068,500,109.655452
-1714.317918,500,116.515427
-1524.792428,500,125.406266
-1007.275381,500,131.79987
-1158.60081,500,138.52659
-1023.969174,500,145.150894
-1372.604698,500,153.89517
-1160.135313,500,160.277301
-1032.923102,500,166.943886
-1238.854944,500,173.537367
-1253.784148,500,182.494446
-1280.413192,467,188.251265
-638.727399,327,192.37893
-441.500435,261,195.72422
-858.017369,420,200.948211
-736.352113,347,205.354131
-988.437018,413,212.590101
-654.970426,274,216.177431
-771.107715,373,221.026349
-659.008799,374,225.977614
-838.261984,428,231.613298
-821.528239,397,239.121688
-592.410607,258,242.346545
-708.702551,344,246.788856
-865.326787,384,251.806272
-799.660425,400,257.017681
-655.772845,341,261.520918
-516.380727,268,267.417664
-426.375922,218,270.126888
-412.233704,233,273.120482
-438.041012,275,276.817878
-677.315735,312,280.96302
-507.384879,243,284.199251
-372.642796,185,286.744199
-435.662305,231,289.865234
-539.81059,251,295.48973
-624.401371,236,298.39848
-495.426553,219,301.209635
-516.95366,231,304.173312
-641.66401,333,308.47014
-407.601498,211,311.373025
-339.144692,213,314.294744
-493.217044,244,317.578918
-455.495317,221,320.475329
-353.92236,195,325.342337
-417.906194,241,328.354807
-296.239453,211,331.214707
-299.585884,161,333.323747
-296.989249,172,335.838541
-364.636362,197,338.735775
-284.270043,173,341.123865
-372.316418,167,343.298902
-318.582465,170,345.589884
-298.860729,178,348.062414
-396.051775,198,350.735212
-385.329837,213,355.953036
-329.996748,182,358.249934
-332.502689,162,360.461898
-243.130148,136,362.267645
-579.257686,226,365.255868
-372.837888,196,367.958638
-178.235425,150,369.952705
-358.459082,217,372.952044
-298.465537,165,375.40089
-459.816228,205,378.133907
-301.456128,179,380.448547
-300.369827,171,384.87273
-330.590659,159,386.872554
-269.732724,167,388.994483
-384.635842,209,391.6851
-444.281098,185,394.199721
-368.312668,173,396.593156
-356.487141,177,398.962574
-387.112933,167,401.235887
-891.167191,327,405.665792
-383.156155,209,408.489978
-512.368586,253,414.319939
-341.335421,199,416.811066
-458.040364,183,419.125744
-450.092545,220,421.998341
-408.148421,210,424.65233
-545.710373,227,427.561458
-557.955692,297,431.337569
-300.588013,189,433.725349
-451.413443,221,436.531082
-308.876239,169,438.688329
-459.273168,199,443.464101
-367.490048,190,445.803357
-299.682515,168,447.887772
-325.564658,168,450.045603
-552.240669,242,453.166733
-392.827699,201,455.808996
-291.720381,139,457.65797
-305.690585,178,460.032893
-492.584539,243,463.256984
-579.855149,260,466.650987
-465.094714,245,472.317856
-547.892441,222,475.086852
-357.776231,175,477.316953
-330.653091,158,479.347574
-419.351748,185,481.723361
-386.3176,181,484.068389
-321.176213,151,486.061989
-544.053758,240,489.18316
-497.918829,238,492.35939
-341.77727,171,494.576478
-480.730954,221,497.443917
-399.071202,171,502.037055
-281.932945,144,503.87907
-528.854133,204,506.443143
-295.43298,136,508.158244
-368.527999,161,510.230617
-586.647652,292,514.187983
-261.398287,170,516.478553
-399.180727,170,518.775236
-578.292815,215,521.605824
-434.472538,191,524.218405
-303.761346,140,526.163905
-383.334294,184,530.872711
-340.239175,159,532.90801
-260.314886,181,535.241618
-365.132274,165,537.459971
-307.784186,140,539.392901
-523.042311,228,542.411193
-422.784501,169,544.580919
-259.4088,131,546.259602
-460.584919,188,548.865378
-275.871971,142,550.859195
-359.860077,148,552.798027
-416.715106,171,555.10757
-362.279225,143,559.283194
-293.649751,164,561.331117
-268.91241,137,563.076862
-273.694129,138,564.846311
-238.139991,129,566.537428
-269.002427,130,568.330799
-296.126919,144,570.348862
-386.101218,152,572.36146
-374.169951,161,574.639235
-320.320437,152,576.712501
-329.830762,143,578.645514
-287.588894,135,580.554577
-337.686886,147,582.518193
-321.574234,132,584.251396
-354.849085,172,588.990963
-261.054892,133,590.67562
-245.661612,136,592.432814
-222.28286,118,593.953668
-379.766119,176,596.299332
-299.821453,137,598.147314
-219.495873,131,599.941497
-398.62648,169,602.196086
-293.368153,138,604.068684
-320.388476,140,605.994997
-429.962651,189,608.553462
-328.025487,135,610.316831
-323.248224,136,612.158936
-438.092024,194,614.813678
-415.757706,197,619.73454
