#{"t_start": 1753540296.9886963, "env_id": "None"}
r,l,t
-1601.736317,500,32.659263
-1481.493269,500,66.274882
-1394.75021,500,99.678444
-1374.205446,500,133.10219
-1102.930117,500,166.473641
-1794.335672,500,199.849933
-1350.797507,500,233.248688
-1386.961925,500,266.685251
-1349.536837,500,302.860255
-1354.349583,500,342.159164
-1575.979247,500,381.228384
-1664.854991,500,420.555372
-1482.799084,500,453.96031
-1945.492112,500,491.285314
-2208.820527,500,530.304766
-1993.400694,500,565.914932
-2157.168057,500,601.688241
-2325.417007,500,637.453326
-2394.632351,500,673.41568
-2713.008109,500,709.557565
-2455.941532,461,742.992023
-1814.573778,386,770.701724
-1378.047422,329,794.371848
-1547.871481,312,816.983389
-777.561871,208,832.050195
-650.112671,193,845.897382
-563.113342,161,857.471224
-514.841582,154,868.497321
-400.606376,137,878.28567
-389.814867,138,888.229765
-340.243863,132,897.723713
-405.576637,132,907.207949
-389.509624,128,916.462925
-379.029455,127,925.551585
-364.330692,128,934.688769
-372.611585,125,943.698938
-388.217469,128,952.898323
-374.004412,125,961.913459
-372.428506,123,970.762624
-358.740563,123,979.647702
-332.933982,124,988.596161
-364.173853,123,997.489966
-368.562792,125,1006.471825
-369.258865,122,1015.304137
-382.77963,124,1024.222146
-306.465818,124,1033.106589
-333.625662,123,1041.907251
-323.737343,124,1050.826126
-367.680449,124,1059.711389
-318.838809,125,1068.669331
-370.835834,125,1077.588582
-367.581216,123,1086.404621
-358.309253,122,1095.119097
-388.157853,126,1104.098895
-380.075285,125,1113.09974
-391.889374,124,1121.964415
-351.388259,124,1130.880627
-404.838765,126,1139.952197
-349.737552,125,1148.912155
-338.745183,124,1157.816329
-346.916889,126,1166.870979
-324.614723,125,1175.88195
-389.322113,125,1184.926004
-339.500078,124,1193.85978
-379.129063,127,1203.063228
-340.952334,125,1212.0954
-324.092383,126,1221.207555
-380.526911,124,1230.141572
-382.167582,126,1239.179201
-372.736144,125,1248.137601
-362.916034,128,1257.316192
-389.556265,125,1266.249645
-369.334881,137,1275.958434
-324.445669,139,1285.418218
-338.131565,127,1294.424894
-362.301451,125,1303.425497
-367.744026,126,1312.473587
-379.848783,127,1321.533831
-351.112727,126,1330.495335
-352.147438,126,1339.515167
-364.331736,125,1348.36396
-395.201306,127,1357.475391
-329.490953,127,1366.580024
-374.856171,126,1375.586605
-364.400856,126,1384.596341
-341.783568,125,1393.558897
-375.822641,126,1402.745594
-365.25508,127,1411.874106
-372.55122,125,1420.797832
-362.93705,125,1429.844612
-380.492983,124,1438.687751
-330.22083,126,1447.727749
-345.601337,126,1456.787757
-336.848601,123,1465.657596
-341.675796,125,1474.61635
-387.776318,127,1483.739359
-344.483453,125,1492.71944
-333.241482,125,1501.687623
-320.023767,124,1510.557608
-387.63369,124,1519.431616
-334.955957,126,1528.49151
-383.46325,124,1537.381618
-308.512827,125,1546.325612
-358.513484,124,1555.218686
-336.23358,124,1564.069689
-351.76795,123,1572.853687
-358.466752,125,1581.75775
-322.252108,126,1590.769788
-381.855179,124,1599.624804
-362.692389,124,1608.479785
-314.33645,125,1617.371683
-325.459518,124,1626.204683
-303.378281,124,1634.993697
-352.214578,125,1643.909737
-338.924758,124,1652.716178
-358.491068,123,1661.536688
-332.901486,122,1670.235445
-356.793667,125,1679.187615
-300.900538,124,1688.06173
-355.294753,123,1696.909157
-328.062036,125,1705.897711
-354.97563,123,1714.701618
-342.923149,125,1723.593735
-353.574998,124,1732.393482
-358.462515,126,1741.385915
-316.453933,123,1750.161922
-360.113304,125,1759.065922
-343.592043,124,1767.928912
-325.087253,122,1776.679922
-362.287097,124,1785.501926
-328.537785,125,1794.440328
-330.220927,124,1803.322739
-309.488188,123,1812.081548
-333.849614,122,1820.739515
-360.6395,124,1829.63164
-331.766512,123,1838.480282
-333.714813,125,1847.457281
-332.65794,123,1856.280389
-363.898262,125,1865.279551
-293.287549,124,1874.14577
-337.432998,125,1883.088171
-313.776476,124,1891.91623
-312.391832,125,1900.861453
-307.513847,123,1909.676453
-334.154718,124,1918.542388
-330.183549,123,1927.403378
-306.900578,124,1936.308168
-309.127403,123,1945.103094
-318.861319,125,1954.085271
-289.284969,123,1962.881287
-317.320073,125,1971.836277
-316.811113,125,1980.750947
-305.15054,124,1989.588779
-361.102636,123,1998.334452
-316.179034,123,2007.11247
-317.156562,122,2015.828216
-350.280089,124,2024.690867
-338.336236,124,2033.517463
-383.439403,126,2042.497047
-347.472556,125,2051.399302
-339.957603,124,2060.23155
-352.916983,125,2069.165366
-333.446401,124,2078.04423
-384.476559,125,2086.957458
-325.275833,125,2095.867384
-326.670078,124,2104.717132
-358.148741,123,2113.534612
-347.171743,123,2122.332356
-389.785997,125,2131.285291
-367.063912,126,2140.298379
-308.620395,123,2149.196294
-299.224229,122,2157.895599
-351.264696,123,2166.733351
-324.678989,124,2175.609674
-325.304171,124,2184.51665
-301.80492,125,2193.46248
-345.34931,124,2202.346537
-340.426859,122,2211.083663
-309.444806,124,2219.967558
-376.145394,123,2228.831576
-305.624519,129,2238.225939
-230.932384,107,2245.41084
-228.633274,107,2252.576361
-220.408371,101,2259.328114
-277.388135,110,2266.72774
-216.494503,102,2273.582781
-221.555985,100,2280.29257
-214.326894,100,2286.983673
-280.059473,129,2295.642543
-224.319277,102,2302.459394
-238.753715,105,2309.498197
-229.758089,109,2316.81899
-219.238729,102,2323.666617
-231.351769,106,2330.752677
-215.684673,100,2337.439315
-223.551426,103,2344.356229
-220.73325,101,2351.118249
-250.83539,104,2358.093178
-287.535896,119,2366.050749
-281.550859,121,2374.151605
-236.314242,111,2381.590912
-231.389356,104,2388.535999
-245.132756,107,2395.690289
-230.897795,101,2402.503527
-269.107394,127,2411.016845
-232.252726,100,2417.794043
-255.513894,119,2426.764218
-265.30994,119,2435.537598
-263.010852,128,2445.430491
-239.136234,100,2453.131638
-271.88971,130,2463.179028
-274.02813,131,2473.278267
-281.829601,132,2483.44538
-274.279174,129,2493.316802
-315.75876,136,2503.71608
-280.445611,129,2513.675562
-279.194041,130,2523.661144
-314.163807,143,2534.700344
-277.992309,130,2544.701162
-282.185109,130,2554.756756
-299.527668,131,2564.859668
-274.004452,126,2574.601857
-284.392753,133,2584.77818
-235.625204,108,2593.125393
-284.99708,122,2602.537567
-257.851741,108,2610.84697
-289.490046,133,2621.056767
-258.343211,110,2629.546001
-257.159165,110,2638.025167
-237.527334,105,2646.143469
-290.970796,134,2656.657262
-309.409842,135,2667.057662
-257.562267,127,2676.841265
-252.365984,132,2686.986565
-258.255091,122,2696.392154
-331.135184,163,2708.855974
-279.910278,128,2718.727273
-286.688845,142,2729.572825
-313.352246,157,2741.614367
-305.076835,158,2753.770696
-356.714079,208,2769.67486
-384.839941,203,2785.444096
-554.004387,276,2806.79947
-458.02188,187,2821.289954
-708.630405,364,2849.45768
-648.892307,338,2875.500906
-536.6006,290,2897.895472
-776.78072,391,2927.993508
-529.304882,279,2949.473777
-584.335575,320,2973.939889
-879.452572,393,3004.08814
-673.418155,304,3027.50927
-455.787098,242,3046.169279
-569.260702,265,3066.611617
-327.664352,174,3080.094684
-330.530678,176,3093.72647
-282.050411,148,3105.188916
-314.086279,164,3117.981384
-284.044342,150,3129.571615
-276.368689,146,3140.825848
-284.013102,152,3152.587942
-245.976602,129,3162.497047
-250.290106,121,3171.80006
-181.096435,95,3179.174274
-181.325661,94,3186.417778
-178.93082,95,3193.680088
-176.650221,95,3200.930971
-179.064524,95,3208.217084
-180.963835,100,3215.892382
-179.583125,100,3223.530704
-181.793411,99,3231.100106
-213.741849,118,3240.130464
